,NP,NB,NF,MP,SR,RL,TP,session_no,mean_grade,varience_grade,dropouts
NP,1.0,0.457495710998,,-0.555086302172,,0.506710496357,-0.598193061397,1.0,-0.729075231019,0.688656875135,-0.395197392114
NB,0.457495710998,1.0,,-0.122910622344,,0.995465063232,0.417982802255,0.457495710998,-0.0280762182869,0.116519139574,-0.358641126571
NF,,,,,,,,,,,
MP,-0.555086302172,-0.122910622344,,1.0,,-0.216638686003,0.288888950007,-0.555086302172,-0.0292874273327,0.149572401545,-0.544059192136
SR,,,,,,,,,,,
RL,0.506710496357,0.995465063232,,-0.216638686003,,1.0,0.379460911399,0.506710496357,-0.0296272510879,0.105018458246,-0.304185191939
TP,-0.598193061397,0.417982802255,,0.288888950007,,0.379460911399,1.0,-0.598193061397,0.817434427282,-0.718582467686,0.25364496079
session_no,1.0,0.457495710998,,-0.555086302172,,0.506710496357,-0.598193061397,1.0,-0.729075231019,0.688656875135,-0.395197392114
mean_grade,-0.729075231019,-0.0280762182869,,-0.0292874273327,,-0.0296272510879,0.817434427282,-0.729075231019,1.0,-0.987162079284,0.750164951067
varience_grade,0.688656875135,0.116519139574,,0.149572401545,,0.105018458246,-0.718582467686,0.688656875135,-0.987162079284,1.0,-0.845997714039
dropouts,-0.395197392114,-0.358641126571,,-0.544059192136,,-0.304185191939,0.25364496079,-0.395197392114,0.750164951067,-0.845997714039,1.0
